0,1
ses kalite ve ergonomi rezalet Sony için almak ama de fiyat Çin replik ürün almak çok çok daha iyi kesinlikle tavsiye etmek ,-1
hızlı teslimat teşekkür ,0
gelmek bir gün kullanmak hemen boz ordu etmek ,-1
kullanmak Baymak ,1
dezavantaj pahalı ürün Br merhaba bu lens başka yemek Tl ile Tl ara satmak neden Mediamarkt pahalı fiyat düşünür siz almak ,0
ürün güzel bu par başka bulmak ,0
taşmak ve kalite iyi olmak rağmen yazma hız oldukça düşük kalmak ,0
çok değil çekmek Gu az için puan ,0
"Klavye tuşları basmakla basmamak arasında kalıyor. Mouse ara sıra
takılma yapıyor. Başka da bir şey yok.  ,0",
Ürün pompasız geliyor. Onun dışında güzel ürün. Pompası olmadığı için 2 yıldız kırdım. Mağaza ürünü zamanında gönderdi.ürün iyi paketlenmişti.  ,0
"Berbat bir dizayn. Her yerinde açıklık var  aldığı havanını yarısını içeri verir. Berbat kötü.  ,-1"
çok hızlı bir şekil el gelmek akabinde evet oldukça sesli ama elektrik süpürge kadar iyi çekmek Gu var pratik tavsiye etmek ,0
tost yapmak kaşamak peynir tam eritmek ,-1
"Arkadaşlar ürün çok güzel ve de sessiz çalışıyo.Kargo hızlıydı fakat ben
kargoyu takip edemedim(Ceva Lojistik).onun dışında bi sıkıntı yok.Mağaza
da güvenilir bu arada  ,1",
indirim almak gayet kullanmak güçlü bir ürün ,1
avantaj taşmak Br dezavantaj yüksek ses açmak biraz bozulmak Br çok yüksek ses ile se biraz bozmak bu da dinlemek ,-1 
ETKİLİYOR. TABİ BU  "Ürünü montaj yapsalar anlayacağım nasıl ya Aras kargo geç getirdi . Ben 12 gün önce aldığım üründen hala montaj bekliyorum .  ,0
bileşmek hepsi Li yılmak kalmak tavsiye etmek ,-1
Ürün de sıkıntı yok fakat ücretsiz kargo olarak siparis verdik kargo ücreti aldılar uğraşmak da istemiyorum. demek ki 3 lira mağaza içindeğerli bir para.  ,-1
görüntü estetik gayet güzel güzel iş görmek emin ama dış malzeme biraz daha kalite tutulmak çok tel mas ,0
"guzel urun  keske gri metal renkli olsaydi sapi daha guzel olurdu  siyah
cikti  bundan haric urun guzel. tesekkurler  ,1",
"çalışma süresinin kısalığı beni şaşırttı bu da motor gücünün zayıflığını
gösterir sanırım  ,0",
ürün fena değil ama renk banmak soluk gelmek ,0
ürün tam istemek gibi değil ama idare etmek pişirmek sürmek Baymak uzun ordu aynı yağlamak tencere yapmak daha çabuk ,-1
fiyat da kullanmak da çok iyi ,1
se çok yüksek mikser çalışmak yanında konu kendi de karşı de duymak ,0
firma fark ürün göndermek eksi not ,-1
daha önce uzun sürmek kullanmak bir ürün ,1
bugün ilk defa kullanmak ilk izlenim mükemmel yön ,1
işletim sistem kuru güncellemek almak bozulmak ,-1
fiyat göre iyi bir ürün fazla bir şey beklemek ,0
sipariş etmek gün el ulaşmak ancak se çok beğenmek ,-1
kullanmak daha ,0
ürün garanti gitmek gelmek şu anmak için memnu ancak mağaza berbat ,-1
hayır beğenmek bozulmak ve telefon kaldırmak ,-1
günde el ulaşmak kaç gün sonra yorum yapmak gerçekten şık bir telefon daha önce Lg G kullanmak memnu ,1
"Ürün ile şimdilik bir sıkıntı bulunmuyor. Bu fiyata daha iyisi olmaz.
Ama satıcının gönderdiği ürünün ambalajı savaştan çıkmış gibi eski çürük
ambalajlı ürün göndermiş.  ,-1",
görüntü olmak gayet güzel bir ürün ama çaydanlık kısım tam oturmak için iade etmek maalesef ,-1
"Arkadaşlar kesinlikle KUMTEL markasını tavsiye etmiyorum. Servis 2 3
haftadan önce gelmiyor kurulum yapmaya. Ben 5 gündür bekliyorum ve
gelmeye niyetleri yok arıyorum her defasında ""yoğunduk gelemedik 
unuttuk gibi bir sürü yalan söyleniyor. Bende kendim takmaya karar
verdim eğer kurulum için bu kadar bekletiyorlarsa garantisi olsa ne
yazar ki? Demek ki ürün GARANTİYE GİTSE DAHA HİÇ GELMEYECEK :))))  ,-1",
plastik yazmak ama plastik değil sanmak değil mi her yemek de çelik yazmak siz de plastik almak ama şüphe düşüm ,-1
sorumak tam zamanında gelmek fiyat kalite tatminkâr ,1
 ,1 yönleri: Güzel şık fakat çok hassas kırılacak gibi duruyor  
patates bilmek ama köfte şahane yapmak ,1
eh güzel orta derece ,1
"Arkadaş ürün elime ulaşmadan saçma sapan yorum iatiyorsunu. Ürün yok
ortada. Alın size yorum.  ,-1",
ürün çeyiz almak paket açmak denemek hemen iş inşallah iyi ,1
"basit bi urun zaten kutuyu actigimda tekeri yerinden cikmisti hic
tavsiye etmem  ,-1",
ürün el gayet hızlı ulaşmak fiyat göre kullanmak iyi bir ürün ,1
"Kesilkle berbat bşr tablet oyun 100 MbLİK OYUN açtım ve tabletin ekranı sıcaklığından yanıyordu resmen..
Kesinlikle kötü  para ekleyip başka bir model alın elinize kalır bu tablet !!  ,-1",
çok çok güzel bayılmak ,1
fatura yok paketlemek iyi değil ,-1
güzel ürün çok memnu ,1
kesinlikle beğenmek ,-1
"hiç beğenmedim ilk gömlek hamlesinde yapıştı anlıyacağınız gömlek
yandı.bazilariniz derki ayarını yapamamış sındır ama ilk defa ütü yapmıyorum   ,-1",
"Beklediğimden daha sessiz çalışması var onun dışında tecrübe edecek
vaktim olmadı  ,1",
"urun çok güzel kapalıda plastik yerine metal olsaymış dahada güzel
olurmuş...cok beğendim güzel urun  ,1",
gibi çıkmak rezistans kısa sürmek bozulmak ,-1
"Ürünü alalı 2 yıl oldu birkaç deneyimden sonra yorum yapayım dedim.Ürün
sert hamurlarda zayıf kalıyor clipsli üst kapak çok zayıf ve hemen
kırılıyor .Dışı plastik olduğu için görüntüye aldanmayın sağlamlık hissi
bende oluşmadı.Az zorlamada sanki bozulakmış gibi ve motordan koku
geliyor .kısacası mutfak şefi için zayıf bir ürün zaten diğer hamurlar
mikxerlede oluyor.Daha çok verip daha sağlam bir ürün almadığıma
üzülmedim değil.  ,0",
kargo tavsiye etmek ,1
henüz kullanmak ama paketlemek gayet iyi tatil eşarp ütülemek için almak memnun kalmak düşünmek ,1
avantaj fiyat Br dezavantaj yok Br ses kalite çok iyi ,0
iyi değil pahalı ,-1
ürün çalışmak bayan için çok pratik ,1
güzel ilgilenmek ,-1
anne çok beğenmek fırın kısım memnun değil ,0
Phone S gb ürün beğenmek tavsiye etmek ,1
ürümek hazne olmak kıyaslamak hâliyle küçük biraz daha teferruat bir şey demek iş görmez ,0
hem fiyat acı Trendyol daha Uygu almak hem de harika yaratmak bir ürün sahip ,1
 ,-1 yönleri: BİRAZ ÇALIŞTIRINCA MOTOR KOKU YAPIYOR  
tarih sipariş vermek teslim almak ürün özemek paket ,0
fena değil fa çalışmak yazmak gibi değil ,-1
metre bile çalışmak vermek par yazık ordu hızlı kargo ve paketlemek sağlam ,-1
indirim almak çeyiz olmak beğenmek ,1
hepsi burmak fark ürün zamanında teslim ,0
ızgara kesinlikle yapışmak yapmak kısa sürmek ısıtmak çok memnun kalmak ,1
"ürün elime kırık şekilde geldi. kargocuya zabıt tuturmadıgım için iade
edemedim haliyle. böyle bi kargolama şekli olmaz ince bi sitreş sarılmıs
sadece ürünü korıyacak bişey yok. kesinlikle önermiyorum...  ,-1",
"kullanışlı. annem ve babam için 1'er tane aldım. torunları ile görüntülü konuşma yapıp resimli cuma mesajları gönderebilecekleri  fotoğraf çekebilecekleri  whatsapp'da yazışabilecekleri  candy crush oynayabilecekleri   navigasyon olarak kullanabilecekleri (navigasyon ile ilgili babamın yorumu şöyledir: ""bazen yanlış yerlere götürüyor yahu  benim hanım bu konuda daha güvenilir"") bi telefon. çok fazla program ve oyun yüklemezseniz sorun olmuyor. canım annem sürekli reklamlara tıkladığı için bazen telefon yavaşlıyor  arada bir fabrika ayarlarına geri yüklüyoruz sorun kalmıyor. babam da namaz vakitlerini takip ediyor. çok şey beklemeyin  parasının telefonu.  ,1",
biraz küçük ama iş görmek alınmak ,1
hayır sağlam değil veya düzgün paketlemek ,-1
ürün sağlam teslimat hızlı ,1
"ürün anlatıldığı gibi ve paketleme kargo hepsi çok güzeldi. güzel ürün
tavsiye edilir.  ,1",
"5 yildir kullaniyorum bu aldigim 2 ci supurge makinasi .
torbali supurge makinasi kullaniyorum ama arnica bora su filtreli makinanin yerini  tutmuyor toz moz birakmiyor cook guzel bu makinayi uretenlere tesekkur ederim elleri dert gormesin....  ,1",
şekil vermek ama mat görüntü var kesinlikle gün içinde hafif bir rüzgâr saçmak dağılmak ,-1
"Şimdi ürünü sipariş ettikten baya uzun bi süre sonra elime ulaştı yaklaşık 8 gün kargo kısmı biraz kötü.
Ürüne gelirsek 2+1 speaker ama ana hoparlör yani resmin ortasındaki hoparlör hiç iyi değil özellikle bassı hiç beyenmedim.Sesi çok açınca çok cızırtılı ses çıkıyor ama diğer küçük hoparlörlerden memnunum.Kısacası almanızı pek tavsiye etmem.Bu paraya hiç deymez bunun yerine aynı fiyata 1+1 alın en azından daha iyi perfornmans alırsınız.Saygılar...  ,-1",
idare etmek ,-1
ses kalite çok iyi ,0
